Potential ID,FreshDesk Ticket Number,Training Name,Number of Users,Client,Month,Year,Received On,Private Cloud ,Cloud Type,TP Lab Type,Lab Name,Requester,Lab Status,Start Date,End Date,Input Cost Per User,Selling Cost Per User,Total Amount,Line of Business,Invoice Details
PF-0109441,,GCP AI Data Engineering,26,EY,Nov,2025,,,GCP,,GCP AI Data Engineering,Muzammil,Delivery Completed,11-24-25,12-05-2025,2500,3500,87500,VILT,
PF-0109441,,GCP AI Data Engineering,26,EY,Nov,2025,,,GCP Gmail-IDs,,GCP AI Data Engineering,Muzammil,Delivery Completed,11-24-25,12-05-2025,750,750,19500,VILT,
PF-0109495,,Moment,6,Cognizant,Nov,2025,,,GCP,,Moment,Mariya(Cognizant),Delivery Completed,11-24-25,12-23-25,6430,6430,38580,Standalone,
PF-0109495,,Moment,6,Cognizant,Nov,2025,,,GCP Gmail-IDs,,Moment,Mariya(Cognizant),Delivery Completed,11-24-25,12-23-25,750,750,4500,Standalone,
PF-0108487,,Vertex AI,35,PWC,Dec,2025,,,GCP,,Vertex AI,Alex(PWC),Delivery Completed,12-01-2025,12-30-25,,,76125,Standalone,
PF-0109761,,Moment,6,Cognizant,Dec,2025,,,GCP,,Moment,Samson(Cognizant),Delivery Completed,12-24-25,01-23-26,,,38580,Standalone,
IIHTELSTECH68981,,AWS Lab,29,KPMG,Apr,2025,,,AWS,,AWS Lab,Rakshith,Delivery Completed,04-01-2025,04-09-2025,855,855,24795,Standalone,
PF-0107574,,QEA POD,6,Cognizant,Apr,2025,,,AWS,,QEA POD,Geetika(Cognizant),Delivery Completed,04-04-2025,05-03-2025,8470,8470,50820,Standalone,
PF-0105272,,AWS Lab,35,PWC,Apr,2025,,,AWS,,AWS Lab,Alex(PWC),Delivery Completed,04-07-2025,06-06-2025,1716,1716,60060,Standalone,
PF-0102955,,AWS Lab,1,IBM,Apr,2025,,,AWS,,AWS Lab,Lokesh,Delivery Completed,04-08-2025,07-06-2025,855,855,855,Standalone,
PF-0107574,,AIA,36,Cognizant,Apr,2025,,,AWS,,AIA,Geetika(Cognizant),Delivery Completed,04-11-2025,4/23/2025,4400,4400,158400,Standalone,
IIHTELSTECH69582,,AWS Lab,31,Evernorth,Apr,2025,,,AWS,,AWS Lab,Vanitha,Delivery Completed,4/14/2025,4/17/2025,4301,4301,136000,Standalone,
PF-0107206 ,,Solution Architect,31,Capgemini-Row,Apr,2025,,,AWS,,Solution Architect,Muzammil,Delivery Completed,4/14/2025,4/25/2025,4300,4730,141900,Standalone,
PF-0106663,,Devops,5,Qunniox,Apr,2025,,,AWS,,Devops,Ravi Kumar,Delivery Completed,4/17/2025,5/16/2025,2138,2565,12825,Standalone,
PF-0106469,,Strata Mavericks,25,KPMG,Apr,2025,,,AWS,,Strata Mavericks,Rakshith,Delivery Completed,4/21/2025,4/28/2025,1700,2040,62400,Standalone,
PF-0107574,,DE ,4,Cognizant,Apr,2025,,,AWS,,DE ,Mariya(Cognizant),Delivery Completed,4/21/2025,5/20/2025,10297.7,10297.7,41190.8,Standalone,
PF-0107191,,Kubernetes,31,Amdocs,Apr,2025,,,AWS,,Kubernetes,Muzammil,Delivery Completed,4/21/2025,05-08-2025,2552,4000,120000,Standalone,
PF-010754,,AWS-Lab,31,UST,Apr,2025,,,AWS,,AWS-Lab,Sarath,Delivery Completed,4/21/2025,6/30/2025,29750,34212,1060572,Standalone,
PF-0107332,,AWS-Lab,1,PWC,Apr,2025,,,AWS,,AWS-Lab,Alex(PWC),Delivery Completed,4/22/2025,10/20/2025,8500,8500,8500,Standalone,
PF-0107574,,AIA,9,Cognizant,Apr,2025,,,AWS,,AIA,Geetika(Cognizant),Delivery Completed,4/23/2025,5/22/2025,8470,8470,76230,Standalone,
PF-0107574,,AIA,25,Cognizant,Apr,2025,,,AWS,,AIA,Geetika(Cognizant),Delivery Completed,4/24/2025,05-08-2025,4400,4400,110000,Standalone,
PF-0106663,,Devops,5,Qunniox,Apr,2025,,,AWS,,Devops,Ravi Kumar,Delivery Completed,4/23/2025,5/22/2025,2138,2138,10690,Standalone,
PF-0107574,,AIA,2,Cognizant,Apr,2025,,,AWS,,AIA,Mariya(Cognizant),Delivery Completed,4/25/2025,05-09-2025,3180,3180,6360,Standalone,
,,AWS Lab,1,Hexaware,Apr,2025,,,AWS,,AWS Lab,Manojith,Delivery Completed,4/24/2025,5/13/2025,1705,2064,2046,Standalone,
,,DT,19,Cognizant,Apr,2025,,,AWS,,DT,Geetika(Cognizant),Delivery Completed,4/28/2025,05-12-2025,4400,4400,83600,Standalone,
,,AWS Lab,9,PWC,Apr,2025,,,AWS,,AWS Lab,Fatehnoor,Delivery Completed,4/28/2025,5/27/2025,852,852,7668,Standalone,
,,Snowflake,29,EY-India,Apr,2025,,,AWS,,Snowflake,Muzammil,Delivery Completed,4/28/2025,5/20/2025,852,979,28391,Standalone,
,,AWS,4,IBM,Apr,2025,,,AWS,,AWS,Lokesh,Delivery Completed,4/28/2025,5/20/2025,852,852,3408,Standalone,
,,AWS Lab,7,PWC,Apr,2025,,,AWS,,AWS Lab,Alex(PWC),Delivery Completed,4/30/2025,5/29/2025,1703,1703,11921,Standalone,
,,AWS-FSE,3,Cognizant-FSE,Apr,2025,,,AWS,,AWS-FSE,Goutham,Delivery Completed,4/30/2025,7/30/2025,8450,8450,25350,Standalone,
,,Exstream Lab,1,Cognizant,Apr,2025,,,AWS,,Exstream Lab,Jayashree(Cognizant),Delivery Completed,4/23/2025,07-11-2025,8470,8470,8470,Standalone,
,,AWS-Lab,6,Cognizant,May,2025,,,AWS,,AWS-Lab,Geetika(Cognizant),Delivery Completed,05-03-2025,06-01-2025,8150,8150,48900,Standalone,
,,AWS-Lab,1,Cognizant-FSE,May,2025,,,AWS,,AWS-Lab,Goutham,Delivery Completed,05-05-2025,08-05-2025,8500,8500,8500,Standalone,
,,Adobe Commerce,10,CGI,May,2025,,,AWS,,Adobe Commerce,Swathy,Delivery Completed,05-09-2025,5/20/2025,6500,6500,65000,Standalone,
,,AWS-Lab,27,PWC,May,2025,,,AWS,,AWS-Lab,Fatehnoor,Delivery Completed,05-06-2025,5/20/2025,4250,4250,114750,Standalone,
,,AWS,1,Cognizant-FSE,May,2025,,,AWS,,AWS,Goutham,Delivery Completed,05-09-2025,08-08-2025,8500,8500,8500,Standalone,
,,ISG-AWS,30,Cognizant,May,2025,,,AWS,,ISG-AWS,Geetika(Cognizant),Delivery Completed,05-12-2025,5/26/2025,4400,4400,132000,Standalone,
,,AWS-Lab,1,PWC,May,2025,,,AWS,,AWS-Lab,Alex(PWC),Delivery Completed,05-12-2025,07-11-2025,4244,4244,4244,Standalone,
,,AWS,31,Evernorth,May,2025,,,AWS,,AWS,RaviKumar,Delivery Completed,5/19/2025,5/22/2025,4244,4326,136000,Standalone,
,,Kubernetes Admin,29,Amdocs,May,2025,,,AWS,,Kubernetes Admin,Muzammil ,Delivery Completed,5/14/2025,5/29/2025,4261,5100,142800,Standalone,
,,AWS-Lab,1,PWC,May,2025,,,AWS,,AWS-Lab,Alex(PWC),Delivery Completed,5/15/2025,7/15/2025,8500,8500,8500,Standalone,
,,Javafull Stack,46,Wipro,May,2025,,,AWS,,Javafull Stack,Kishore,Delivery Completed,5/16/2025,5/27/2025,854,854,39284,Standalone,
,,Kubernetes Admin-US,31,Amdocs,May,2025,,,AWS,,Kubernetes Admin-US,Muzammil ,Delivery Completed,5/19/2025,5/30/2025,4261,5100,142800,Standalone,
,,AWS-Lab,1,PWC,May,2025,,,AWS,,AWS-Lab,Alex(PWC),Delivery Completed,5/19/2025,6/18/2025,1708,1708,1708,Standalone,
,,FSE-AWS,3,Cognizant-FSE,May,2025,,,AWS,,FSE-AWS,Goutham,Delivery Completed,5/20/2025,8/19/2025,8560,8560,25680,Standalone,
,,AIA,22,Cognizant,May,2025,,,AWS,,AIA,Geetika(Cognizant),Delivery Completed,5/21/2025,06-04-2025,4400,4400,96800,Standalone,
,,AWS-Lab,22,UST,May,2025,,,AWS,,AWS-Lab,Roshan,Delivery Completed,5/21/2025,7/31/2025,5950,6842,150524,Standalone,
,,AWS-Lab,1,Cognizant-FSE,May,2025,,,AWS,,AWS-Lab,Goutham,Delivery Completed,5/21/2025,8/20/2025,8500,8500,8500,Standalone,
,,AWS-Lab,1,Cognizant-FSE,May,2025,,,AWS,,AWS-Lab,Goutham,Delivery Completed,5/26/2025,8/25/2025,8500,8500,8500,Standalone,
,,ADM-AWS,1,Cognizant,May,2025,,,AWS,,ADM-AWS,Mariya(Cognizant),Delivery Completed,5/15/2025,5/29/2025,3180,3180,3180,Standalone,
,,Security,26,Capgemini-Row,June,2025,,,AWS,,Security,Noor,Delivery Completed,06-03-2025,6/17/2025,4288,5145,133770,Standalone,
,,CBD DATA,2,Cognizant,June,2025,,,AWS,,CBD DATA,Geetika(Cognizant),Delivery Completed,06-02-2025,6/16/2025,4400,4400,8800,Standalone,
,,AWS,1,PWC,June,2025,,,AWS,,AWS,Alex,Delivery Completed,06-02-2025,8/31/2025,8538,8538,8538,Standalone,
,,AWS,2,Cognizant-FSE,June,2025,,,AWS,,AWS,Goutham,Delivery Completed,06-02-2025,8/31/2025,8538,8538,17076,Standalone,
,,DE,1,Cognizant,June,2025,,,AWS,,DE,Mariya,Delivery Completed,06-03-2025,08-01-2025,12540,12540,12540,Standalone,
,,AWS,3,Cognizant-FSE,June,2025,,,AWS,,AWS,Goutham,Delivery Completed,06-05-2025,09-04-2025,8500,8500,25500,Standalone,
,,DE,4,Cognizant,June,2025,,,AWS,,DE,Mariya,Delivery Completed,06-07-2025,07-06-2025,10381,10381,41524,Standalone,
,,AWS,1,PWC,June,2025,,,AWS,,AWS,Alex,Delivery Completed,06-10-2025,09-10-2025,8500,8500,8500,Standalone,
,,AIA,26,Cognizant,June,2025,,,AWS,,AIA,Geetika(Cognizant),Delivery Completed,06-11-2025,6/25/2025,4400,4400,114400,Standalone,
,,AWS,2,PWC,June,2025,,,AWS,,AWS,Alex,Delivery Completed,06-05-2025,6/18/2025,1721,1721,3442,Standalone,
,,AWS,26,Hexaware,June,2025,,,AWS,,AWS,Athul,Delivery Completed,6/13/2025,11-11-2025,5000,8500,221000,Standalone,
,,AWS,15,PWC,June,2025,,,AWS,,AWS,Alex,Delivery Completed,06-03-2025,6/24/2025,1721,1721,25815,Standalone,
,,AWS,15,PWC,June,2025,,,AWS,,AWS,Alex,Delivery Completed,06-03-2025,6/24/2025,4302,4302,64530,Standalone,
,,AWS,5,Cognizant-FSE,June,2025,,,AWS,,AWS,Goutham,Delivery Completed,6/16/2025,9/15/2025,8600,8600,43000,Standalone,
,,AWS,15,PWC,June,2025,,,AWS,,AWS,Fatehnoor,Delivery Completed,06-12-2025,6/19/2025,1700,1700,25500,Standalone,
,,CBD DATA,48,Cognizant,June,2025,,,AWS,,CBD DATA,Geetika(Cognizant),Delivery Completed,6/19/2025,07-03-2025,4400,4400,211200,Standalone,
,,CBD DATA,17,Cognizant,June,2025,,,AWS,,CBD DATA,Geetika(Cognizant),Delivery Completed,6/20/2025,07-04-2025,4400,4400,74800,Standalone,
,,AWS,31,Evernorth,June,2025,,,AWS,,AWS,Ravi,Delivery Completed,6/23/2025,6/26/2025,4323,4323,136000,Standalone,
,,AWS-Lab,12,UST,June,2025,,,AWS,,AWS-Lab,Sarath,Delivery Completed,4/21/2025,6/30/2025,4335,4335,52020,Standalone,
,,CBPPE,28,Wipro,June,2025,,,AWS,,CBPPE,Rohith,Delivery Completed,6/24/2025,07-09-2025,2500,2500,70000,Standalone,
,,AWS Labs,7,Cognizant,June,2025,,,AWS,,AWS Labs,Goutham,Delivery Completed,6/24/2025,9/23/2025,8610,8610,60270,Standalone,
,,AWS,1,PWC,June,2025,,,AWS,,AWS,Alex,Delivery Completed,06-03-2025,6/24/2025,4302,4302,4302,Standalone,
,,Cloud Operations,16,Bharath Airtel,July,2025,,,AWS,,Cloud Operations,Arthi,Delivery Completed,02-07-2025,30-07-2025,2150,2150,34400,Standalone,
,,AWS,2,IBM,July,2025,,,AWS,,AWS,Lokesh,Delivery Completed,03-07-2025,02-10-2025,860,860,1720,Standalone,
,,AWS,1,PWC,July,2025,,,AWS,,AWS,Alex(PWC),Delivery Completed,04-07-2025,01-10-2025,8500,8500,8500,Standalone,
,,Flowsource,1,Cognizant,July,2025,,,AWS,,Flowsource,Mariya(Cognizant),Delivery Completed,04-07-2025,01-09-2025,12540,12540,12540,Standalone,
,,AWS,1,PWC,July,2025,,,AWS,,AWS,Alex(PWC),Delivery Completed,07-07-2025,05-10-2025,8586,8586,8586,Standalone,
,,AWS,31,Evernorth,July,2025,,,AWS,,AWS,Ravi,Delivery Completed,14-07-2025,18-07-2025,4278,5133,136000,Standalone,
,,AWS-FSE,4,Cognizant-FSE,July,2025,,,AWS,,AWS-FSE,Goutham,Delivery Completed,14-07-2025,12-10-2025,8500,8500,34000,Standalone,
,,AWS,1,PWC,July,2025,,,AWS,,AWS,Alex(PWC),Delivery Completed,15-07-2025,13-08-2025,4292,4292,4292,Standalone,
,,AWS-FSE,2,Cognizant-FSE,July,2025,,,AWS,,AWS-FSE,Goutham,Delivery Completed,14-07-2025,12-10-2025,8500,8500,17000,Standalone,
,,AWS,24,PWC,July,2025,,,AWS,,AWS,Alex(PWC),Delivery Completed,21-07-2025,25-07-2025,4300,4300,103200,Standalone,
,,MULTIPLE ,11,Invesco,July,2025,,,AWS,,MULTIPLE ,Asangani Ayman Rashad ,Delivery Completed,21-07-2025,18-08-2025,4280,5136,56496,Standalone,
,,Devops,29,UST,July,2025,,,AWS,,Devops,Rafique,Delivery Completed,01-07-2025,03-07-2025,4250,4887,141723,Standalone,
,,AWS-Labs,62,PWC,July,2025,,,AWS,,AWS-Labs,Alex(PWC),Delivery Completed,23-07-2025,01-08-2025,1725,1725,106950,Standalone,
,,CI CD Pipelines,26,Amdocs,July,2025,,,AWS,,CI CD Pipelines,Muzammil,Delivery Completed,22-07-2025,23-07-2025,862,1000,25000,Standalone,
,,AIA,101,Cognizant,July,2025,,,AWS,,AIA,Mariya(Cognizant),Delivery Completed,28-07-2025,08-08-2025,4400,4400,444400,Standalone,
,,AWS-FSE,3,Cognizant-FSE,July,2025,,,AWS,,AWS-FSE,Goutham,Delivery Completed,29-07-2025,26-10-2025,8600,8600,25800,Standalone,
,,Moment-AWS,1,Cognizant,Aug,2025,,,AWS,,Moment-AWS,Mariya(Cognizant),Delivery Completed,01-08-2025,30-08-2025,8470,8470,8470,Standalone,
,,FSE-AWS,4,Cognizant-FSE,Aug,2025,,,AWS,,FSE-AWS,Goutham,Delivery Completed,01-08-2025,29-10-2025,8500,8500,34000,Standalone,
,,AWS-Labs,7,PWC,Aug,2025,,,AWS,,AWS-Labs,Alex(PWC),Delivery Completed,06-08-2025,05-09-2025,4300,4300,30100,Standalone,
,,FSE-AWS,2,Cognizant-FSE,Aug,2025,,,AWS,,FSE-AWS,Goutham,Delivery Completed,05-08-2025,04-11-2025,8500,8500,17000,Standalone,
,,AIA,2,Cognizant,Aug,2025,,,AWS,,AIA,Mariya(Cognizant),Delivery Completed,07-08-2025,21-08-2025,4400,4400,8800,Standalone,
,,AWS-Labs,27,Evernorth,Aug,2025,,,AWS,,AWS-Labs,RaviKumaar,Delivery Completed,19-08-2025,22-08-2025,4375,5470,147690,Standalone,
,,FSE-AWS,5,Cognizant-FSE,Aug,2025,,,AWS,,FSE-AWS,Goutham,Delivery Completed,21-08-2025,20-09-2025,8500,8500,42500,Standalone,
,,FSE-AWS,1,Cognizant-FSE,Aug,2025,,,AWS,,FSE-AWS,Goutham,Delivery Completed,22-08-2025,23-11-2025,8500,8500,8500,Standalone,
,,AWS-Labs,60,PWC,Aug,2025,,,AWS,,AWS-Labs,Fatehnoor,Delivery Completed,28-08-2025,09-09-2025,1700,1700,102000,Standalone,
,,AWS-Labs,2,Cognizant-FSE,Aug,2025,,,AWS,,AWS-Labs,Goutham,Delivery Completed,28-08-2025,27-11-2025,8500,8500,17000,Standalone,
,,CDC-Azure,265,Wipro,Aug,2025,,,AWS,,CDC-Azure,Sanjeed Nawaz,Delivery Completed,29-08-2025,30-08-2025,435,435,115275,Standalone,
,,Dynamo DB ,106,Amazon,Sept,2025,,,AWS,,Dynamo DB ,Mani,Delivery Completed,02-09-2025,30-09-2025,850,850,90100,VILT,
,,AIA,111,Cognizant,Sept,2025,,,AWS,,AIA,Mariya(Cognizant),Delivery Completed,04-09-2025,18-09-2025,4400,4400,488400,Standalone,
,,AWS-Lab,7,Wipro,Sept,2025,,,AWS,,AWS-Lab,Soumya Dutta(Wipro),Delivery Completed,04-09-2025,10-09-2025,850,850,8178,Standalone,
,,Data Bricks,26,Socgen,Sept,2025,,,AWS,,Data Bricks,Mani,Delivery Completed,08-09-2025,12-09-2025,8500,10900,272500,VILT,
,,AWS-Labs,15,PWC,Sept,2025,,,AWS,,AWS-Labs,Alex(PWC),Delivery Completed,08-09-2025,21-09-2025,1758,1758,26370,Standalone,
,,AWS-Labs,1,PWC,Sept,2025,,,AWS,,AWS-Labs,Alex(PWC),Delivery Completed,08-09-2025,07-12-2025,8791,8791,8791,Standalone,
,,AWS-Labs,2,Evernorth,Sept,2025,,,AWS,,AWS-Labs,Ravi,Delivery Completed,03-09-2025,12-09-2025,4400,5506,11012,Standalone,
,,AWS-Labs,23,Evernorth,Sept,2025,,,AWS,,AWS-Labs,Ravi,Delivery Completed,09-09-2025,12-09-2025,4400,5506,126638,Standalone,
,,Data Bricks,23,Socgen,Sept,2025,,,AWS,,Data Bricks,Mani,Delivery Completed,15-09-2025,19-09-2025,8500,10900,239800,VILT,
,,Cassandra ,26,Amdocs,Sept,2025,,,AWS,,Cassandra ,Muzammil ,Delivery Completed,22-09-2025,24-09-2025,1320,1476,36900,VILT,
,,AWS-Labs,14,PWC,Sept,2025,,,AWS,,AWS-Labs,Fathenoor,Delivery Completed,24-09-2025,29-09-2025,1700,1700,23800,Standalone,
,,AWS-FSE,1,Cognizant-FSE,Sept,2025,,,AWS,,AWS-FSE,Goutham,Delivery Completed,26-09-2025,24-12-2025,8500,8500,8500,Standalone,
,,Moment,1,Cognizant,Sept,2025,,,AWS,,Moment,Mariya(Cognizant),Delivery Completed,10-09-2025,31-10-2025,8150,8150,8150,Standalone,
,,AWS migration to MS Azure,31,Cognizant,Sept,2025,,,AWS,,AWS migration to MS Azure,Goutham,Delivery Completed,22-09-2025,10-10-2025,2640,3036,91080,VILT,
,,Java Fullstack Developer,20,Sony,Oct,2025,,,AWS,,Java Fullstack Developer,Manoj,Delivery Completed,10-03-2025,11-03-2025,4439,4439,88780,VILT,
,,Infra DevOps & AI,32,BirlaSoft,Oct,2025,,,AWS,,Infra DevOps & AI,Mani,Delivery Completed,10-06-2025,11-18-25,8800,10560,337920,VILT,
,,QEA,16,Cognizant,Oct,2025,,,AWS,,QEA,Mariya(Cognizant),Delivery Completed,10-06-2025,10-20-25,1550,1550,24800,Standalone,
,,AWS-Labs,25,PWC,Oct,2025,,,AWS,,AWS-Labs,Fathenoor,Delivery Completed,10-06-2025,11-06-2025,2550,2550,63750,Standalone,
,,AWS-Labs,2,Evernorth,Oct,2025,,,AWS,,AWS-Labs,Ravi,Delivery Completed,10-09-2025,10-16-25,4439,5506,11012,Standalone,
,,AWS-Labs,23,Evernorth,Oct,2025,,,AWS,,AWS-Labs,Ravi,Delivery Completed,10-13-25,10-16-25,4439,5506,126638,Standalone,
,,AWS-Labs,14,Cognizant-FSE,Oct,2025,,,AWS,,AWS-Labs,Goutham,Delivery Completed,10-16-25,01-13-26,8500,8500,119000,Standalone,
,,Moment,1,Cognizant,Oct,2025,,,AWS,,Moment,Mariya(Cognizant),Delivery Completed,10-22-25,11-30-25,8150,8150,8150,Standalone,
,,Postgres,1,CGI,Nov,2025,,,AWS,,Postgres,Felix Raj,Delivery Completed,10-23-25,10-31-25,2175,2175,2175,VILT,
,,AWS-Labs,5,Cognizant-FSE,Nov,2025,,,AWS,,AWS-Labs,Goutham,Delivery Completed,11-05-2025,02-06-2026,8500,8500,42500,Standalone,
,,AWS-Labs,42,PWC,Nov,2025,,,AWS,,AWS-Labs,Alex(PWC),Delivery Completed,11-06-2025,12-05-2025,1760,1760,73920,Standalone,
,,AWS-Labs,3,Cognizant-FSE,Nov,2025,,,AWS,,AWS-Labs,Goutham,Delivery Completed,11-07-2025,02-04-2026,8500,8500,25500,Standalone,
,,Java-Assesment,121,Encora,Nov,2025,,,AWS,,Java-Assesment,Aarti,Delivery Completed,11-10-2025,11-10-2025,440,440,53240,Standalone,
,,AWS-Labs,40,PWC,Nov,2025,,,AWS,,AWS-Labs,Alex(PWC),Delivery Completed,11-11-2025,11-30-25,1275,1275,51000,Standalone,
,,AWS-Labs,1,PWC,Nov,2025,,,AWS,,AWS-Labs,Alex(PWC),Delivery Completed,11-11-2025,02-08-2026,8500,8500,8500,Standalone,
,,Confluent Kafka,1,ValueMomentum,Nov,2025,,,AWS,,Confluent Kafka,Archana,Delivery Completed,11-11-2025,11-24-25,880,880,880,VILT,
,,AI,1,OC Tanner,Nov,2025,,,AWS,,AI,Rakshith,Delivery Completed,11-14-25,11-15-25,440,440,440,VILT,
,,AWS Labs,1,Evernorth,Nov,2025,,,AWS,,AWS Labs,Ravi,Delivery Completed,11-17-25,11-28-25,4405,5506,5506,Standalone,
,,AWS Labs,16,Evernorth,Nov,2025,,,AWS,,AWS Labs,Ravi,Delivery Completed,11-26-25,11-28-25,4405,5506,88096,Standalone,
,,AWS Labs,30,PWC,Nov,2025,,,AWS,,AWS Labs,Fathenoor(PWC),Delivery Completed,11-17-25,12-28-25,2580,2580,77400,Standalone,
,,AWS Labs,24,PWC,Nov,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery Completed,11-17-25,12-15-25,1720,1720,41280,Standalone,
,,AWS Labs,1,PWC,Nov,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery Completed,11-17-25,12-16-25,4300,4300,4300,Standalone,
,,DevOps & AI,46,BirlaSoft,Nov,2025,,,AWS,,DevOps & AI,Mani,Delivery In-Progress,11-24-25,02-24-26,8800,10560,538560,VILT,
,,Flowsource,1,Cognizant,Nov,2025,,,AWS,,Flowsource,Mariya(Cognizant),Delivery In-Progress,11-26-25,01-24-26,12540,12540,12540,Standalone,
,,AWS Labs,1,PWC,Nov,2025,,,AWS,,AWS Labs,Fathenoor(PWC),Delivery In-Progress,11-26-25,02-23-26,8500,8500,8500,Standalone,
,,AWS Labs,24,PWC,Nov,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery In-Progress,11-27-25,02-28-26,1700,1700,40800,Standalone,
,,AWS-Labs,3,Cognizant-FSE,Nov,2025,,,AWS,,AWS-Labs,Goutham,Delivery In-Progress,11-27-25,02-24-26,8500,8500,25500,Standalone,
,,AWS-Labs,2,Cognizant-FSE,Nov,2025,,,AWS,,AWS-Labs,Goutham,Delivery In-Progress,11-27-25,02-24-26,8500,8500,17000,Standalone,
,,Flowsource,3,Cognizant,Dec,2025,,,AWS,,Flowsource,Mariya(Cognizant),Delivery Completed,12-02-2025,12-31-25,6430,6430,19290,Standalone,
,,AWS Labs,1,PWC,Dec,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery Completed,12-01-2025,01-31-26,8500,8500,8500,Standalone,
,,AWS Labs,1,PWC,Dec,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery In-Progress,12-05-2025,03-04-2026,8500,8500,8500,Standalone,
,,AWS Labs,30,PWC,Dec,2025,,,AWS,,AWS Labs,Fathenoor(PWC),Delivery Completed,12-08-2025,12-22-25,2125,2125,63750,Standalone,
,,AWS Labs,1,PWC,Dec,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery Completed,12-16-25,01-16-26,8500,8500,8500,Standalone,
,,AWS Labs,5,PWC,Dec,2025,,,AWS,,AWS Labs,Fathenoor(PWC),Delivery Completed,12-08-2025,12-22-25,2125,2125,10625,Standalone,
,,AWS Labs,1,PWC,Dec,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery In-Progress,11-27-25,02-28-26,1700,1700,1700,Standalone,
,,AWS Labs,1,PWC,Dec,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery Completed,12-09-2025,01-08-2026,4400,4400,4400,Standalone,
,,AWS Labs,25,PWC,Dec,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery Completed,12-10-2025,01-09-2026,1320,1320,33000,Standalone,
,,AWS Labs,15,PWC,Dec,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery Completed,12-15-25,12-24-25,850,850,12750,Standalone,
,,AWS Labs,1,PWC,Dec,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery In-Progress,11-27-25,02-28-26,26400,26400,26400,Standalone,
,,AWS Labs,24,PWC,Dec,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery Completed,12-16-25,01-30-26,850,850,20400,Standalone,
,,Kubernetes,25,Persistant,Dec,2025,,,AWS,,Kubernetes,Ayman,Delivery Completed,12-22-25,01-09-2026,4500,5500,132000,VILT,
,,AWS-Hackfest,5,PWC,Dec,2025,,Private Cloud ,AWS,,AWS-Hackfest,Alex(PWC),Delivery Completed,12-15-25,01-16-26,26100,26100,130500,Standalone,
,,AWS Labs,1,PWC,Dec,2025,,,AWS,,AWS Labs,Alex(PWC),Delivery Completed,12-22-25,01-21-26,4250,4250,4250,Standalone,
,,AIA,2,Cognizant,Dec,2025,,,AWS,,AIA,Mariya(Cognizant),Delivery Completed,12-23-25,01-21-26,8470,8470,16940,Standalone,
,,Moment,1,Cognizant,Dec,2025,,,AWS,,Moment,Mariya(Cognizant),Delivery Completed,12-31-25,01-29-26,8150,8150,8150,Standalone,
